video,inicio,fim,motivo
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:00:32,00:00:38,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:01:01,00:01:05,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:01:49,00:01:55,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:02:06,00:02:10,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:02:11,00:02:12,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:02:14,00:02:16,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:02:45,00:02:57,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:03:30,00:03:42,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:03:45,00:03:46,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:03:49,00:03:50,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:04:02,00:04:16,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:04:31,00:04:42,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:04:56,00:05:01,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:05:12,00:05:15,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:05:16,00:05:27,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:05:53,00:05:56,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:06:02,00:06:25,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:06:42,00:07:05,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:07:43,00:07:56,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:08:20,00:08:41,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:08:51,00:08:54,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:09:09,00:09:53,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:10:01,00:10:05,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:10:22,00:10:32,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:10:55,00:11:07,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:11:25,00:11:30,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:11:33,00:11:42,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:12:06,00:12:15,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:12:25,00:12:39,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:13:27,00:13:32,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:13:49,00:14:04,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:14:22,00:14:54,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:15:16,00:15:27,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:15:50,00:16:07,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:16:21,00:16:23,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:17:17,00:17:20,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:17:46,00:18:03,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:18:26,00:18:45,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:19:16,00:19:25,tempo_morto
Jogo5_DREHER_TEAM_vs_ARENA_CASTELO.mp4,00:19:34,00:19:41,tempo_morto
Jogo6_MCS_vs_BASQUETE PB.mp4,00:00:49,00:01:05,tempo_morto
Jogo6_MCS_vs_BASQUETE PB.mp4,00:01:49,00:01:56,tempo_morto
Jogo6_MCS_vs_BASQUETE PB.mp4,00:02:09,00:02:17,tempo_morto
