video,inicio,fim,motivo
Jogo1_ICP_vs_JICS.mp4,00:00:17,00:00:25,bola_sai_de_quadra
Jogo1_ICP_vs_JICS.mp4,00:00:52,00:01:04,falta
Jogo1_ICP_vs_JICS.mp4,00:01:09,00:01:26,bola_sai_de_quadra
Jogo1_ICP_vs_JICS.mp4,00:01:29,00:01:37,falta
Jogo1_ICP_vs_JICS.mp4,00:02:36,00:02:50,bola_sai_de_quadra
Jogo1_ICP_vs_JICS.mp4,00:02:55,00:03:10,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:03:34,00:03:46,bola_sai_de_quadra
Jogo1_ICP_vs_JICS.mp4,00:04:02,00:04:32,bola_sai_de_quadra
Jogo1_ICP_vs_JICS.mp4,00:04:38,00:04:48,falta
Jogo1_ICP_vs_JICS.mp4,00:05:24,00:05:41,falta
Jogo1_ICP_vs_JICS.mp4,00:05:56,00:06:10,falta
Jogo1_ICP_vs_JICS.mp4,00:06:17,00:06:32,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:06:36,00:06:49,bola_sai_de_quadra
Jogo1_ICP_vs_JICS.mp4,00:06:55,00:07:37,indefinido
Jogo1_ICP_vs_JICS.mp4,00:07:40,00:07:59,indefinido
Jogo1_ICP_vs_JICS.mp4,00:08:04,00:08:22,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:09:17,00:10:35,timeout
Jogo1_ICP_vs_JICS.mp4,00:10:45,00:11:23,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:12:59,00:13:37,bola_sai_de_quadra
Jogo1_ICP_vs_JICS.mp4,00:13:44,00:14:01,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:14:19,00:14:42,falta
Jogo1_ICP_vs_JICS.mp4,00:15:00,00:15:18,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:15:22,00:15:31,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:16:00,00:16:16,timeout
Jogo1_ICP_vs_JICS.mp4,00:16:29,00:17:37,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:17:52,00:17:59,falta_arremesso
Jogo1_ICP_vs_JICS.mp4,00:18:05,00:18:17,bola_sai_de_quadra
Jogo2_GUARANI_vs_FÚRIA_B.mp4,00:00:13,00:00:22,bola_sai_de_quadra
Jogo2_GUARANI_vs_FÚRIA_B.mp4,00:00:36,00:00:46,falta_arremesso
Jogo2_GUARANI_vs_FÚRIA_B.mp4,00:01:34,00:01:49,bola_sai_de_quadra
Jogo2_GUARANI_vs_FÚRIA_B.mp4,00:02:17,00:02:38,andada
Jogo2_GUARANI_vs_FÚRIA_B.mp4,00:02:49,00:02:58,bola_sai_de_quadra
Jogo2_GUARANI_vs_FÚRIA_B.mp4,00:03:03,00:03:14,bola_sai_de_quadra
Jogo2_GUARANI_vs_FÚRIA_B.mp4,00:04:54,00:05:12,bola_sai_de_quadra
Jogo2_GUARANI_vs_FÚRIA_B.mp4,00:05:40,00:05:59,falta_arremesso
