video,inicio,fim,motivo
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:00:12,00:00:18,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:01:10,00:01:18,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:01:23,00:01:37,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:01:41,00:01:48,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:02:07,00:02:17,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:03:45,00:04:00,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:04:08,00:04:16,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:04:22,00:04:26,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:04:38,00:04:41,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:04:58,00:05:12,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:05:41,00:05:51,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:06:57,00:07:14,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:07:34,00:07:36,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:08:02,00:08:17,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:08:31,00:09:27,timeout
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:10:37,00:10:50,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:11:11,00:11:20,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:11:48,00:11:56,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:12:06,00:12:10,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:12:14,00:12:16,tempo_morto
Jogo12_OLIMPO_vs_MANÍACOS.mp4,00:12:19,00:12:33,tempo_morto
