video,inicio,fim,motivo
Jogo11_IMPERIAL_vs_MNC.mp4,00:00:19,00:01:10,lesao_jogador
Jogo11_IMPERIAL_vs_MNC.mp4,00:01:37,00:01:55,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:02:10,00:02:28,falta
Jogo11_IMPERIAL_vs_MNC.mp4,00:02:29,00:02:40,decisao_arbitragem
Jogo11_IMPERIAL_vs_MNC.mp4,00:03:06,00:03:16,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:03:42,00:03:49,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:03:53,00:04:08,falta_arremesso
Jogo11_IMPERIAL_vs_MNC.mp4,00:04:35,00:04:40,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:04:53,00:04:59,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:05:23,00:05:32,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:05:41,00:05:57,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:06:12,00:06:18,indefinido
Jogo11_IMPERIAL_vs_MNC.mp4,00:06:32,00:06:40,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:06:54,00:07:09,falta_arremesso
Jogo11_IMPERIAL_vs_MNC.mp4,00:07:16,00:07:26,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:07:31,00:07:41,violacao_regra
Jogo11_IMPERIAL_vs_MNC.mp4,00:07:52,00:08:02,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:08:26,00:08:32,andada
Jogo11_IMPERIAL_vs_MNC.mp4,00:08:44,00:09:01,falta_arremesso
Jogo11_IMPERIAL_vs_MNC.mp4,00:09:06,00:09:16,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:09:27,00:09:34,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:10:07,00:10:16,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:10:41,00:10:49,indefinido
Jogo11_IMPERIAL_vs_MNC.mp4,00:10:58,00:11:06,andada
Jogo11_IMPERIAL_vs_MNC.mp4,00:11:37,00:11:51,falta_arremesso
Jogo11_IMPERIAL_vs_MNC.mp4,00:12:11,00:12:22,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:12:30,00:13:00,falta_tecnica
