video,inicio,fim,motivo
Jogo11_IMPERIAL_vs_MNC.mp4,00:00:21,00:01:10,lesao_jogador
Jogo11_IMPERIAL_vs_MNC.mp4,00:01:38,00:01:54,bola_sai_de_quadra
Jogo11_IMPERIAL_vs_MNC.mp4,00:12:37,00:12:57,pausa_tecnica
Jogo11_IMPERIAL_vs_MNC.mp4,00:13:39,00:14:35,pausa_tecnica
Jogo14_GUARANI_vs_GUARANI_B.mp4,00:06:02,00:07:10,pausa_tecnica
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:01:43,00:01:58,bola_sai_de_quadra
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:02:55,00:03:13,bola_sai_de_quadra
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:03:30,00:05:09,jogo_interrompido
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:12:06,00:12:25,bola_sai_de_quadra
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:12:35,00:13:34,pausa_tecnica
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:13:45,00:14:04,falta_tecnica
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:16:14,00:17:28,pausa_tecnica
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:18:12,00:18:29,bola_sai_de_quadra
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:18:37,00:18:52,bola_sai_de_quadra
Jogo1_DYNAMITE_vs_DESPORTIVO.mp4,00:19:02,00:19:21,falta_tecnica
Jogo3_GUARANI_vs_BSL.mp4,00:00:32,00:00:46,falta_tecnica
Jogo3_GUARANI_vs_BSL.mp4,00:04:16,00:05:12,pausa_tecnica
Jogo3_GUARANI_vs_BSL.mp4,00:09:56,00:10:07,falta_tecnica
Jogo3_GUARANI_vs_BSL.mp4,00:10:23,00:10:39,falta_tecnica
