video,inicio,fim,nome_partida
Torneio 3X3 - LPB.mp4,00:20:15,00:38:38,Jogo1_ICP_vs_JICS
Torneio 3X3 - LPB.mp4,00:53:30,01:03:07,Jogo2_GUARANI_vs_FÚRIA_B
Torneio 3X3 - LPB.mp4,01:07:36,01:27:19,Jogo3_FÚRIA_vs_ABPB
Torneio 3X3 - LPB.mp4,01:33:39,01:51:25,Jogo4_GUARANI_vs_JICS
Torneio 3X3 - LPB.mp4,02:01:51,02:11:49,Jogo5_BSL_vs_JUSTPLAY
Torneio 3X3 - LPB.mp4,02:16:59,02:35:08,Jogo6_GUARANI_B_vs_ICP
Torneio 3X3 - LPB.mp4,02:53:07,02:57:47,Jogo7_ABPB_vs_FÚRIA
Torneio 3X3 - LPB.mp4,03:04:59,03:20:40,Jogo8_MANÍACOS_vs_BSL
Torneio 3X3 - LPB.mp4,03:27:49,03:41:39,Jogo9_FÚRIA_vs_FÚRIA_B
Torneio 3X3 - LPB.mp4,03:44:57,04:03:25,Jogo11_IMPERIAL_vs_MNC
Torneio 3X3 - LPB.mp4,04:16:40,04:30:11,Jogo12_OLIMPO_vs_MANÍACOS
Torneio 3X3 - LPB.mp4,04:37:30,04:50:45,Jogo13_ICP_vs_FÚRIA_B
Torneio 3X3 - LPB.mp4,04:59:49,05:11:10,Jogo14_GUARANI_vs_GUARANI_B
Torneio 3X3 - LPB.mp4,05:20:59,05:36:27,Jogo15_ICP_vs_FÚRIA
Torneio 3X3 - LPB.mp4,05:42:12,05:53:27,Jogo16_GUARANI_vs_ICP
Torneio 3X3 - LPB - 2.mp4,00:12:30,00:32:09,Jogo1_DYNAMITE_vs_DESPORTIVO
Torneio 3X3 - LPB - 2.mp4,00:42:35,00:54:30,Jogo2_ICP_vs_CABEDELO_BASQ
Torneio 3X3 - LPB - 2.mp4,00:58:18,01:10:30,Jogo3_GUARANI_vs_BSL
Torneio 3X3 - LPB - 2.mp4,01:16:07,01:36:24,Jogo4_MANIACOS_vs_GBA_KINGS
Torneio 3X3 - LPB - 2.mp4,01:40:13,02:00:19,Jogo5_DREHER_TEAM_vs_ARENA_CASTELO
Torneio 3X3 - LPB - 2.mp4,02:06:52,02:22:03,Jogo6_MCS_vs_BASQUETE PB
Torneio 3X3 - LPB - 2.mp4,02:25:07,02:39:27,Jogo7_BOTAFOGO_PB_vs_MANIACOS
Torneio 3X3 - LPB - 2.mp4,02:44:07,02:55:06,Jogo8_IFPB_vs_BSL
Torneio 3X3 - LPB - 3.mp4,00:06:13,00:20:29,Jogo1_GUARANI_vs_MANIACAS
Torneio 3X3 - LPB - 3.mp4,00:26:33,00:41:22,Jogo2_GBA_KINGS_vs_GUARANI
Torneio 3X3 - LPB - 3.mp4,00:45:06,01:00:32,Jogo3_BOTAFOGO_vs_BOTAFOGO_B
Torneio 3X3 - LPB - 3.mp4,01:22:10,01:37:07,Jogo4_DYNAMITE_vs_GUARANI
Torneio 3X3 - LPB - 3.mp4,01:43:23,01:57:21,Jogo5_GUARANI_vs_BOTAFOGO
Torneio 3X3 - LPB - 3.mp4,02:03:13,02:18:49,Jogo6_GUARANI_vs_BOTAFOGO
